
Afiseaza fisele de inscriere,26-04-2020 17:55:34
Inscriere candidat,26-04-2020 18:49:18
Afiseaza fisele de inscriere,26-04-2020 18:49:42
Sterge fisa de inscriere 1,26-04-2020 18:50:20
Afiseaza fisele de inscriere,26-04-2020 18:50:25
Afiseaza fisele de inscriere,26-04-2020 21:20:42
Sterge fisa de inscriere 6,26-04-2020 21:21:02
Afiseaza fisele de inscriere,26-04-2020 21:21:07
Afiseaza fisele de inscriere,26-04-2020 21:23:11
Inscriere candidat,26-04-2020 21:23:15
Afiseaza fisele de inscriere,26-04-2020 21:23:48
Sterge fisa de inscriere 7,26-04-2020 21:23:57
Afiseaza fisele de inscriere,26-04-2020 21:24:00
Calculeaza taxa de inscriere,26-04-2020 21:24:05
Calculeaza taxa de inscriere,26-04-2020 21:24:15
Adauga examen,26-04-2020 21:24:46
Afiseaza examen,26-04-2020 21:25:06
Adauga examen,26-04-2020 21:26:08
Afiseaza examen,26-04-2020 21:26:24
Adauga examen,26-04-2020 21:29:27
Afiseaza examen,26-04-2020 21:29:46
Sterge examen,26-04-2020 21:29:54
Afiseaza examen,26-04-2020 21:30:00
Afiseaza examen,26-04-2020 21:32:35
Verifica daca un student a intrat la buget sau taxa,26-04-2020 21:32:52
Verifica daca un student a intrat la buget sau taxa,26-04-2020 21:48:03
Verifica daca un student a intrat la buget sau taxa,26-04-2020 21:51:57
Verifica daca un student a intrat la buget sau taxa,26-04-2020 21:54:36
Verifica daca un student a fost respins,26-04-2020 21:55:15
Executa o impartire in sali,26-04-2020 21:55:41
Executa o impartire in sali,26-04-2020 21:58:04
Afiseaza fisele de inscriere,26-04-2020 22:21:39
Afiseaza fisele de inscriere,26-04-2020 22:25:25
Afiseaza fisele de inscriere,26-04-2020 22:30:48
Afiseaza fisele de inscriere,26-04-2020 22:45:13
Afiseaza fisele de inscriere,26-04-2020 22:51:20
Afiseaza fisele de inscriere,26-04-2020 22:54:40
Afiseaza fisele de inscriere,26-04-2020 22:55:54
